,# edges,setting,Accuracy
0,200,random-R,0.8691275167785235
1,400,random-R,0.8691275167785235
2,600,random-R,0.8456375838926175
3,800,random-R,0.8590604026845637
4,1000,random-R,0.87248322147651
5,1200,random-R,0.8691275167785235
6,1400,random-R,0.87248322147651
7,1600,random-R,0.8691275167785235
8,1800,random-R,0.8691275167785235
9,2000,random-R,0.8691275167785235
10,200,random-U,0.8590604026845637
11,400,random-U,0.8590604026845637
12,600,random-U,0.8590604026845637
13,800,random-U,0.8557046979865772
14,1000,random-U,0.8590604026845637
15,1200,random-U,0.8590604026845637
16,1400,random-U,0.8590604026845637
17,1600,random-U,0.8590604026845637
18,1800,random-U,0.8557046979865772
19,2000,random-U,0.8557046979865772
20,200,max-degree-R,0.8590604026845637
21,400,max-degree-R,0.8624161073825504
22,600,max-degree-R,0.8422818791946308
23,800,max-degree-R,0.8489932885906041
24,1000,max-degree-R,0.8456375838926175
25,1200,max-degree-R,0.8489932885906041
26,1400,max-degree-R,0.8523489932885906
27,1600,max-degree-R,0.8489932885906041
28,1800,max-degree-R,0.8456375838926175
29,2000,max-degree-R,0.8523489932885906
30,200,max-degree-U,0.8624161073825504
31,400,max-degree-U,0.8624161073825504
32,600,max-degree-U,0.8624161073825504
33,800,max-degree-U,0.8624161073825504
34,1000,max-degree-U,0.8624161073825504
35,1200,max-degree-U,0.8624161073825504
36,1400,max-degree-U,0.8624161073825504
37,1600,max-degree-U,0.8624161073825504
38,1800,max-degree-U,0.8624161073825504
39,2000,max-degree-U,0.8624161073825504
40,200,min-degree-R,0.8657718120805369
41,400,min-degree-R,0.8691275167785235
42,600,min-degree-R,0.8624161073825504
43,800,min-degree-R,0.8523489932885906
44,1000,min-degree-R,0.8590604026845637
45,1200,min-degree-R,0.8657718120805369
46,1400,min-degree-R,0.8657718120805369
47,1600,min-degree-R,0.8624161073825504
48,1800,min-degree-R,0.8657718120805369
49,2000,min-degree-R,0.8590604026845637
50,200,min-degree-U,0.8624161073825504
51,400,min-degree-U,0.8624161073825504
52,600,min-degree-U,0.8624161073825504
53,800,min-degree-U,0.8624161073825504
54,1000,min-degree-U,0.8590604026845637
55,1200,min-degree-U,0.8624161073825504
56,1400,min-degree-U,0.8624161073825504
57,1600,min-degree-U,0.8624161073825504
58,1800,min-degree-U,0.8624161073825504
59,2000,min-degree-U,0.8624161073825504
60,200,saliency-R,0.8691275167785235
61,400,saliency-R,0.8691275167785235
62,600,saliency-R,0.8691275167785235
63,800,saliency-R,0.8624161073825504
64,1000,saliency-R,0.8624161073825504
65,1200,saliency-R,0.8691275167785235
66,1400,saliency-R,0.8624161073825504
67,1600,saliency-R,0.8624161073825504
68,1800,saliency-R,0.8624161073825504
69,2000,saliency-R,0.8624161073825504
70,200,saliency-U,0.8624161073825504
71,400,saliency-U,0.8590604026845637
72,600,saliency-U,0.8590604026845637
73,800,saliency-U,0.8590604026845637
74,1000,saliency-U,0.8590604026845637
75,1200,saliency-U,0.8590604026845637
76,1400,saliency-U,0.8624161073825504
77,1600,saliency-U,0.8624161073825504
78,1800,saliency-U,0.8624161073825504
79,2000,saliency-U,0.8624161073825504
