# edges,setting,accuracy
0,Retrain,0.874538745
0,ERAEDGE,0.874538745
100,Retrain,0.870848708
100,ERAEDGE,0.874538745
0,Retrain,0.874538745
0,ERAEDGE,0.874538745
100,Retrain,0.86900369
100,ERAEDGE,0.874538745
0,Retrain,0.86900369
0,ERAEDGE,0.86900369
100,Retrain,0.876383764
100,ERAEDGE,0.874538745
0,Retrain,0.872693727
0,ERAEDGE,0.872693727
100,Retrain,0.872693727
100,ERAEDGE,0.874538745
0,Retrain,0.863468635
0,ERAEDGE,0.863468635
100,Retrain,0.852398524
100,ERAEDGE,0.861623616
0,Retrain,0.865313653
0,ERAEDGE,0.865313653
100,Retrain,0.86900369
100,ERAEDGE,0.861623616
0,Retrain,0.870848708
0,ERAEDGE,0.870848708
100,Retrain,0.867158672
100,ERAEDGE,0.876383764
0,Retrain,0.863468635
0,ERAEDGE,0.863468635
100,Retrain,0.876383764
100,ERAEDGE,0.859778598
0,Retrain,0.861623616
0,ERAEDGE,0.861623616
100,Retrain,0.874538745
100,ERAEDGE,0.865313653
0,Retrain,0.874538745
0,ERAEDGE,0.874538745
100,Retrain,0.874538745
100,ERAEDGE,0.86900369
200,Retrain,0.854243542
400,Retrain,0.870848708
800,Retrain,0.867158672
1000,Retrain,0.843173432
200,Retrain,0.859778598
400,Retrain,0.857933579
800,Retrain,0.857933579
1000,Retrain,0.856088561
200,Retrain,0.870848708
400,Retrain,0.872693727
800,Retrain,0.854243542
1000,Retrain,0.854243542
200,Retrain,0.878228782
400,Retrain,0.861623616
800,Retrain,0.843173432
1000,Retrain,0.848708487
200,Retrain,0.867158672
400,Retrain,0.86900369
800,Retrain,0.86900369
1000,Retrain,0.86900369
200,Retrain,0.859778598
400,Retrain,0.857933579
800,Retrain,0.859778598
1000,Retrain,0.863468635
200,Retrain,0.872693727
400,Retrain,0.867158672
800,Retrain,0.857933579
1000,Retrain,0.861623616
200,Retrain,0.86900369
400,Retrain,0.867158672
800,Retrain,0.870848708
1000,Retrain,0.876383764
200,Retrain,0.870848708
400,Retrain,0.865313653
800,Retrain,0.863468635
1000,Retrain,0.861623616
200,Retrain,0.863468635
400,Retrain,0.86900369
800,Retrain,0.861623616
1000,Retrain,0.84501845
200,ERAEDGE,0.863468635
400,ERAEDGE,0.867158672
800,ERAEDGE,0.856088561
1000,ERAEDGE,0.854243542
200,ERAEDGE,0.86900369
400,ERAEDGE,0.867158672
800,ERAEDGE,0.859778598
1000,ERAEDGE,0.850553506
200,ERAEDGE,0.859778598
400,ERAEDGE,0.857933579
800,ERAEDGE,0.850553506
1000,ERAEDGE,0.841328413
200,ERAEDGE,0.865313653
400,ERAEDGE,0.861623616
800,ERAEDGE,0.852398524
1000,ERAEDGE,0.856088561
200,ERAEDGE,0.861623616
400,ERAEDGE,0.863468635
800,ERAEDGE,0.861623616
1000,ERAEDGE,0.859778598
200,ERAEDGE,0.867158672
400,ERAEDGE,0.865313653
800,ERAEDGE,0.86900369
1000,ERAEDGE,0.867158672
200,ERAEDGE,0.86900369
400,ERAEDGE,0.86900369
800,ERAEDGE,0.865313653
1000,ERAEDGE,0.867158672
200,ERAEDGE,0.878228782
400,ERAEDGE,0.874538745
800,ERAEDGE,0.876383764
1000,ERAEDGE,0.874538745
200,ERAEDGE,0.880073801
400,ERAEDGE,0.878228782
800,ERAEDGE,0.872693727
1000,ERAEDGE,0.86900369
200,ERAEDGE,0.86900369
400,ERAEDGE,0.859778598
800,ERAEDGE,0.865313653
1000,ERAEDGE,0.863468635
