,# edges,accuracy,setting
0,200,0.825503355704698,Retrain
1,400,0.8355704697986577,Retrain
2,800,0.8221476510067114,Retrain
3,1000,0.8288590604026845,Retrain
4,200,0.8288590604026845,Retrain
5,400,0.8221476510067114,Retrain
6,800,0.8187919463087249,Retrain
7,1000,0.8154362416107382,Retrain
8,200,0.8288590604026845,Retrain
9,400,0.8288590604026845,Retrain
10,800,0.8288590604026845,Retrain
11,1000,0.8322147651006712,Retrain
12,200,0.8322147651006712,Retrain
13,400,0.8187919463087249,Retrain
14,800,0.8154362416107382,Retrain
15,1000,0.8221476510067114,Retrain
16,200,0.8221476510067114,Retrain
17,400,0.8187919463087249,Retrain
18,800,0.825503355704698,Retrain
19,1000,0.8221476510067114,Retrain
20,200,0.8187919463087249,Retrain
21,400,0.8221476510067114,Retrain
22,800,0.825503355704698,Retrain
23,1000,0.8187919463087249,Retrain
24,200,0.8187919463087249,Retrain
25,400,0.8322147651006712,Retrain
26,800,0.8187919463087249,Retrain
27,1000,0.8187919463087249,Retrain
28,200,0.8154362416107382,Retrain
29,400,0.8288590604026845,Retrain
30,800,0.8288590604026845,Retrain
31,1000,0.8187919463087249,Retrain
32,200,0.825503355704698,Retrain
33,400,0.8288590604026845,Retrain
34,800,0.8288590604026845,Retrain
35,1000,0.8187919463087249,Retrain
36,200,0.8187919463087249,Retrain
37,400,0.8221476510067114,Retrain
38,800,0.8187919463087249,Retrain
39,1000,0.8087248322147651,Retrain
40,200,0.825503355704698,ERAEDGE
41,400,0.825503355704698,ERAEDGE
42,800,0.8221476510067114,ERAEDGE
43,1000,0.8221476510067114,ERAEDGE
44,200,0.8221476510067114,ERAEDGE
45,400,0.8221476510067114,ERAEDGE
46,800,0.8187919463087249,ERAEDGE
47,1000,0.8187919463087249,ERAEDGE
48,200,0.8355704697986577,ERAEDGE
49,400,0.8355704697986577,ERAEDGE
50,800,0.8355704697986577,ERAEDGE
51,1000,0.8355704697986577,ERAEDGE
52,200,0.8288590604026845,ERAEDGE
53,400,0.825503355704698,ERAEDGE
54,800,0.825503355704698,ERAEDGE
55,1000,0.825503355704698,ERAEDGE
56,200,0.8154362416107382,ERAEDGE
57,400,0.8187919463087249,ERAEDGE
58,800,0.8187919463087249,ERAEDGE
59,1000,0.8187919463087249,ERAEDGE
60,200,0.8221476510067114,ERAEDGE
61,400,0.8221476510067114,ERAEDGE
62,800,0.8322147651006712,ERAEDGE
63,1000,0.825503355704698,ERAEDGE
64,200,0.8221476510067114,ERAEDGE
65,400,0.8221476510067114,ERAEDGE
66,800,0.8221476510067114,ERAEDGE
67,1000,0.8221476510067114,ERAEDGE
68,200,0.8154362416107382,ERAEDGE
69,400,0.8154362416107382,ERAEDGE
70,800,0.8154362416107382,ERAEDGE
71,1000,0.8120805369127517,ERAEDGE
72,200,0.8288590604026845,ERAEDGE
73,400,0.8288590604026845,ERAEDGE
74,800,0.8288590604026845,ERAEDGE
75,1000,0.8322147651006712,ERAEDGE
76,200,0.8322147651006712,ERAEDGE
77,400,0.8288590604026845,ERAEDGE
78,800,0.825503355704698,ERAEDGE
79,1000,0.825503355704698,ERAEDGE
