,# edges,accuracy,setting
0,200,0.7672672672672672,Retrain
1,400,0.7747747747747747,Retrain
2,800,0.7597597597597597,Retrain
3,1000,0.7507507507507507,Retrain
4,200,0.7657657657657657,Retrain
5,400,0.7687687687687688,Retrain
6,800,0.7687687687687688,Retrain
7,1000,0.7612612612612613,Retrain
8,200,0.7672672672672672,Retrain
9,400,0.7612612612612613,Retrain
10,800,0.7582582582582582,Retrain
11,1000,0.7642642642642643,Retrain
12,200,0.7762762762762763,Retrain
13,400,0.7672672672672672,Retrain
14,800,0.7612612612612613,Retrain
15,1000,0.7687687687687688,Retrain
16,200,0.7627627627627628,Retrain
17,400,0.7642642642642643,Retrain
18,800,0.7642642642642643,Retrain
19,1000,0.7657657657657657,Retrain
20,200,0.7627627627627628,Retrain
21,400,0.7777777777777778,Retrain
22,800,0.7597597597597597,Retrain
23,1000,0.7642642642642643,Retrain
24,200,0.7687687687687688,Retrain
25,400,0.7732732732732732,Retrain
26,800,0.7687687687687688,Retrain
27,1000,0.7552552552552553,Retrain
28,200,0.7612612612612613,Retrain
29,400,0.7717717717717718,Retrain
30,800,0.7642642642642643,Retrain
31,1000,0.7642642642642643,Retrain
32,200,0.7687687687687688,Retrain
33,400,0.7642642642642643,Retrain
34,800,0.7702702702702703,Retrain
35,1000,0.7597597597597597,Retrain
36,200,0.7747747747747747,Retrain
37,400,0.7777777777777778,Retrain
38,800,0.7702702702702703,Retrain
39,1000,0.7657657657657657,Retrain
40,200,0.7837837837837838,ERAEDGE
41,400,0.7792792792792793,ERAEDGE
42,800,0.7732732732732732,ERAEDGE
43,1000,0.7717717717717718,ERAEDGE
44,200,0.7672672672672672,ERAEDGE
45,400,0.7657657657657657,ERAEDGE
46,800,0.7597597597597597,ERAEDGE
47,1000,0.7612612612612613,ERAEDGE
48,200,0.7732732732732732,ERAEDGE
49,400,0.7612612612612613,ERAEDGE
50,800,0.7672672672672672,ERAEDGE
51,1000,0.7657657657657657,ERAEDGE
52,200,0.7762762762762763,ERAEDGE
53,400,0.7777777777777778,ERAEDGE
54,800,0.7702702702702703,ERAEDGE
55,1000,0.7702702702702703,ERAEDGE
56,200,0.7747747747747747,ERAEDGE
57,400,0.7687687687687688,ERAEDGE
58,800,0.7672672672672672,ERAEDGE
59,1000,0.7657657657657657,ERAEDGE
60,200,0.7687687687687688,ERAEDGE
61,400,0.7672672672672672,ERAEDGE
62,800,0.7687687687687688,ERAEDGE
63,1000,0.7657657657657657,ERAEDGE
64,200,0.7747747747747747,ERAEDGE
65,400,0.7717717717717718,ERAEDGE
66,800,0.7702702702702703,ERAEDGE
67,1000,0.7717717717717718,ERAEDGE
68,200,0.7507507507507507,ERAEDGE
69,400,0.7522522522522522,ERAEDGE
70,800,0.7507507507507507,ERAEDGE
71,1000,0.7477477477477478,ERAEDGE
72,200,0.7732732732732732,ERAEDGE
73,400,0.7672672672672672,ERAEDGE
74,800,0.7657657657657657,ERAEDGE
75,1000,0.7642642642642643,ERAEDGE
76,200,0.7717717717717718,ERAEDGE
77,400,0.7687687687687688,ERAEDGE
78,800,0.7627627627627628,ERAEDGE
79,1000,0.7597597597597597,ERAEDGE
